text,label
"Large pothole on the main road near the bridge","Road & Transport"
"Broken streetlight on the corner causing darkness","Electricity & Street Facilities"
"Garbage overflowing from bins in the market area","Waste & Sanitation"
"Water pipe leakage flooding the street","Water & Drainage"
"Drainage blocked and water is backing up","Water & Drainage"
"Illegal dumping of trash near the river","Waste & Sanitation"
"Fallen tree blocking the footpath","Environment"
"Pollution and smoke from burning waste","Environment"
"Harassment reported in the alley at night","Public Safety"
"Unsafe area near the bus stop","Public Safety"
"Damaged public toilet in the park","Public Facilities"
"Broken benches and lights in the park","Public Facilities"
"Road cracks and traffic hazard on highway","Road & Transport"
"Exposed electrical wires near the shop","Electricity & Street Facilities"
"Sewage leak and bad smell in neighborhood","Water & Drainage"
"Community school building needs repair","Public Facilities"
"Streetlight not working at the junction","Electricity & Street Facilities"
"Waste pile beside residential area","Waste & Sanitation"
"Flooding on street after rain","Water & Drainage"
"Bridge railing broken and dangerous","Road & Transport"
